Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
5ce360d9-0240-c096-2bf0-81a90485156a,1985-05-20,,999-63-1960,S99926968,X50699856X,Ms.,Hailey792,Cordia574,Langosh790,,,S,white,nonhispanic,F,Holyoke  Massachusetts  US,770 Hayes Loaf Suite 66,Lakeville,Massachusetts,Plymouth County,,00000,41.85848018717759,-70.91330742697481,295795.28,79343.28,62556
b8e6ec8d-fd49-2b80-5d80-859c6a91f7c7,1973-11-21,,999-30-4276,S99941121,X79654972X,Mr.,Johnny786,Rodrigo242,Wehner319,,,M,black,nonhispanic,M,Attleboro  Massachusetts  US,972 Spencer Junction Unit 38,Malden,Massachusetts,Middlesex County,25017,02148,42.37402136631065,-71.09389445290698,167708.03,5962.83,52403
5fbc8d32-c2ba-707a-ec77-974f7c2c2d70,2017-01-20,,999-88-3255,,,,María Elena653,Leonor133,Almaraz628,,,,white,hispanic,F,Carolina  Puerto Rico  PR,529 Baumbach Highlands,Lynn,Massachusetts,Essex County,25009,01901,42.48501039361739,-70.88439527742601,28495.01,3953.20,112516
bc822654-a15e-de48-d072-902320fa28b5,1990-09-03,,999-25-4833,S99997196,X76839740X,Mr.,Frederick289,Luigi346,Hettinger594,,,S,white,nonhispanic,M,Boston  Massachusetts  US,570 Donnelly Skyway Apt 55,Worcester,Massachusetts,Worcester County,25027,01609,42.309874137165345,-71.83725793680208,69152.49,0.00,67805
5f50413a-82af-bd2a-0c01-fbf045de6c78,2014-04-24,,999-50-5860,,,,Boris111,Brice635,Pollich983,,,,other,nonhispanic,M,Somerset  Massachusetts  US,296 Bernhard Path,Boston,Massachusetts,Suffolk County,25025,02199,42.343033107474696,-71.1077150826141,17305.31,11648.76,803152
8ff07b6c-74d3-0b35-d131-8cfdc1e43c36,2003-06-24,,999-75-4031,S99937551,X10628838X,Mr.,Grover559,Kurtis994,Corwin846,,,,black,nonhispanic,M,Wellesley  Massachusetts  US,182 Hackett Wall Unit 18,Chelmsford,Massachusetts,Middlesex County,,00000,42.562040974040606,-71.37924543476792,78670.09,15444.93,142180
57d8254b-9cd0-5ff4-7462-ffa05eb99fc6,1998-05-08,,999-65-9119,S99945996,X66507482X,Ms.,Darnell564,Lea264,Hettinger594,,,,white,nonhispanic,F,Amherst Center  Massachusetts  US,642 Lockman Camp,Amherst,Massachusetts,Hampshire County,,00000,42.363221450847846,-72.53427926830712,144248.13,323159.24,148126
9c4a7795-46dd-a913-e11e-155d0619af79,2016-06-16,,999-66-4909,,,,Dewey930,Louie190,Bruen238,,,,white,hispanic,M,Quincy  Massachusetts  US,614 Rohan Heights,Agawam,Massachusetts,Hampden County,25013,01001,42.07845240454915,-72.64121716940811,2256.27,37433.30,11047
ba49c7d0-f8bc-b84d-ff4b-fd6db568c2be,1961-01-23,,999-69-5614,S99948805,X37408182X,Ms.,Beatrice15,Linnea167,Dickens475,,,S,white,nonhispanic,F,Quincy  Massachusetts  US,250 Pacocha Branch Suite 25,North Attleborough,Massachusetts,Bristol County,,00000,41.99836779099047,-71.35279681448242,797955.36,119365.08,69123
ffbb7b8d-50a9-ae92-ed00-f8b0170ed03c,1972-02-10,,999-42-4847,S99943909,X39327078X,Mr.,Clyde817,,Hirthe744,,,D,white,nonhispanic,M,Ashland  Massachusetts  US,131 Robel Wynd,Boston,Massachusetts,Suffolk County,25025,02125,42.32028950207124,-71.01531419100783,66209.30,64763.65,769176
10c77f09-bbea-f7e9-c00c-846235dc8327,1994-10-25,,999-97-8724,S99969981,X3955250X,Ms.,Bette450,Donnette259,Herzog843,,,S,white,nonhispanic,F,Fall River  Massachusetts  US,316 Stiedemann Arcade,Boston,Massachusetts,Suffolk County,25025,02116,42.26627420444461,-71.07986010647979,202980.01,838406.79,86941
f1417a9b-2ef9-2bf7-0771-e5e40de3decc,1977-01-19,,999-40-8694,S99930750,X84809872X,Mr.,Tom274,,Macejkovic424,,,S,white,nonhispanic,M,Spencer  Massachusetts  US,929 Stanton Quay,Southbridge,Massachusetts,Worcester County,25027,01550,42.077391661984706,-72.00487814332831,108792.56,9695.15,168617
0b50ccf6-0800-5c83-687e-273021d0f923,1997-09-03,,999-61-8351,S99988791,X81472737X,Mr.,Danilo179,Carmelo33,Cassin499,,,M,asian,nonhispanic,M,Weymouth  Massachusetts  US,633 Bailey Bay,Melrose,Massachusetts,Middlesex County,25017,02176,42.4886801347148,-71.04150014501357,13110.58,60863.38,24813
36e6fcb7-fd59-e317-801a-77f8990f56ab,1972-02-23,,999-50-8238,S99943452,X86664495X,Mr.,Corey514,Rod343,Blick895,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,609 Romaguera Burg Unit 26,Weymouth,Massachusetts,Norfolk County,25021,02188,42.15702042758363,-70.95068190539389,180424.69,118448.39,94234
c549a756-48e4-56fa-c1f8-4bf0d941fa0f,2022-07-06,,999-52-8572,,,,Malvina930,Raymond398,Kiehn525,,,,white,nonhispanic,F,Leominster  Massachusetts  US,563 Spencer Avenue Suite 47,Revere,Massachusetts,Suffolk County,25025,02151,42.432140691363095,-70.98219189444701,9707.06,0.00,128828
1e0be74f-5c40-aa0b-3a2f-2e8e6ecd9140,1985-07-10,,999-72-4820,S99964697,X55856617X,Mrs.,Meaghan273,,Ortiz186,,Powlowski563,M,white,nonhispanic,F,Ashland  Massachusetts  US,1079 Smith Promenade Suite 2,Quincy,Massachusetts,Norfolk County,25021,02169,42.307622503894464,-71.06387284028659,152796.50,273877.71,187735
2fae69ce-d201-4b1c-2c6e-54399af8c904,1955-01-29,2014-04-01,999-75-7069,S99929290,X23318146X,Mrs.,Bettina657,Edith654,Cormier289,,Botsford977,D,white,nonhispanic,F,Boston  Massachusetts  US,461 MacGyver Orchard Apt 60,Worcester,Massachusetts,Worcester County,25027,01606,42.270895525243446,-71.83304771682378,150356.93,345548.42,24016
02801d23-cfa8-b4d1-2083-43bed6bb944f,2007-09-02,,999-21-8829,S99948893,,Mr.,Paris331,,Raynor401,,,,white,nonhispanic,M,Boston  Massachusetts  US,294 Cronin Mews,Wakefield,Massachusetts,Middlesex County,25009,01940,42.51758980800853,-71.08797873333039,48437.87,4267.13,180618
bf8a3d64-f905-95c1-cf4d-bc8b9a04c92d,2009-10-09,,999-24-4892,S99919410,,,Eulah395,Corliss645,Zieme486,,,,black,nonhispanic,F,Waltham  Massachusetts  US,621 Will Terrace Suite 0,Boston,Massachusetts,Suffolk County,25025,02116,42.36510217001699,-71.15264531764262,2845.86,38294.45,11598
13c5eba1-7d27-69df-75bc-4e9c02d6a789,2003-03-08,,999-32-7947,S99997532,X65074287X,Ms.,Rosalia943,Sofia418,Palomo90,,,,white,hispanic,F,Santo Domingo  National District  DO,568 Schiller Bridge Apt 6,Salem,Massachusetts,Essex County,25009,01970,42.432956817319486,-70.86328440296887,4942.72,191236.71,16576
05da26d7-17ff-fafa-df9f-edeedbfad6cd,1973-06-14,,999-97-2133,S99998339,X26691524X,Ms.,Nicolle442,,White193,,,S,white,nonhispanic,F,Medford  Massachusetts  US,1023 Predovic Street,Danvers,Massachusetts,Essex County,25009,01937,42.5527729110194,-70.90510015270962,218521.02,692608.39,155650
e84609b9-ed57-bef8-9f33-c6c17005a14f,1961-03-14,2016-12-21,999-25-4812,S99949097,X38293164X,Mrs.,Meghan514,,Conn188,,Johnston597,W,white,nonhispanic,F,Boston  Massachusetts  US,657 Macejkovic Trailer,Douglas,Massachusetts,Worcester County,,00000,42.060376183230524,-71.79733800467021,176444.93,1006191.23,166642
9549cda8-5dff-ebd6-d718-724ba5a50498,1979-10-20,,999-90-4234,S99944530,X22758574X,Mrs.,Sun500,Deeann517,Rowe323,,Ziemann98,M,white,nonhispanic,F,Worcester  Massachusetts  US,991 VonRueden Road,Pinehurst,Massachusetts,Middlesex County,25017,01866,42.53375018239134,-71.19010095370791,369693.48,374675.89,89075
758cb9b5-1578-f879-2d23-66c33c39ce0c,1994-08-29,,999-82-6050,S99951182,X88536549X,Mr.,Tory770,Otha286,Farrell962,,,M,white,nonhispanic,M,Whitman  Massachusetts  US,1096 Hackett Gateway,Arlington,Massachusetts,Middlesex County,25017,02474,42.438633068135026,-71.19458205131508,6464.62,73731.73,11699
38636b81-d062-cf93-0066-bf3061fa94c7,1969-01-23,2025-03-11,999-96-5796,S99952149,X38385365X,Mr.,Monroe732,,O'Reilly797,,,D,asian,nonhispanic,M,Wenham  Massachusetts  US,972 Mayert Gateway,Boston,Massachusetts,Suffolk County,25025,02129,42.36997903863778,-71.09963150301972,23556.03,2133283.29,6428
9a784c23-0146-3e6b-17b8-aa0f8443ba6b,1981-05-18,,999-91-9914,S99938529,X76581221X,Mrs.,Lynn917,Gregoria352,Hermiston71,,Lubowitz58,M,black,nonhispanic,F,Belchertown  Massachusetts  US,554 Larson Port Unit 93,Boston,Massachusetts,Suffolk County,25025,02119,42.26986806031231,-71.12953819875351,414221.92,467838.85,78023
7014c269-e901-df82-c72d-ee4cbe2bf1a5,1966-11-21,,999-81-7587,S99961767,X74596037X,Ms.,Addie421,,Okuneva707,,,S,other,nonhispanic,F,Stow  Massachusetts  US,126 Ferry Center,Stoughton,Massachusetts,Norfolk County,,00000,42.072797286791634,-71.08845909509594,183814.16,1211681.76,5686
cfd81355-482b-002e-8cba-369093abd7e4,1982-11-04,,999-64-3051,S99998864,X43857223X,Mrs.,Xenia801,Nubia715,Luettgen772,,Koelpin146,D,white,nonhispanic,F,Raynham  Massachusetts  US,118 Roberts Frontage road Apt 86,Franklin,Massachusetts,Norfolk County,25021,02038,42.10737605525617,-71.40428321092297,365974.68,1080399.00,839894
72da822e-3e00-0531-9b35-e991f393ec15,1964-03-08,,999-65-1226,S99917178,X67351956X,Mr.,Percy315,Dwight645,Wilderman619,,,M,white,nonhispanic,M,Boston  Massachusetts  US,567 Larson Quay Suite 9,Orleans,Massachusetts,Barnstable County,25001,02653,41.78333068780595,-69.96933433986086,116649.61,199292.81,34830
c757ace4-6582-f6cd-5738-445929847a75,1956-02-03,,999-29-1613,S99971928,X27543324X,Mr.,Noel608,Lenard338,Kling921,,,S,white,nonhispanic,M,Turin  Piedmont  IT,1015 Rempel Esplanade Apt 90,Boston,Massachusetts,Suffolk County,25025,02127,42.37780680637418,-71.0686068880617,157675.96,129748.97,74842
9933370e-5d8e-e9b4-5346-3fbac2ea4c00,1974-05-11,,999-16-3537,S99955861,X34413921X,Ms.,Brittney657,Abbie917,Brakus656,,,S,white,nonhispanic,F,Ludlow  Massachusetts  US,941 Jast Ranch Apt 95,Swansea,Massachusetts,Bristol County,,00000,41.79961893588511,-71.23720300391552,10453.09,302490.46,15968
95c2ce3d-dc83-3ba3-6501-37b418087a93,1961-03-14,,999-38-9907,S99947251,X9276897X,Mrs.,Kimberli643,,Lemke654,,Dickens475,M,white,nonhispanic,F,Ocean Grove  Massachusetts  US,113 O'Connell Parade,Douglas,Massachusetts,Worcester County,,00000,42.0778444083701,-71.74052304027015,337114.50,630717.02,166642
a5289027-7bba-b564-83a8-0c4c194f74d8,1985-09-04,,999-29-1473,S99941841,X57598156X,Mr.,Bryant814,Diego848,Funk324,,,D,white,nonhispanic,M,Cambridge  Massachusetts  US,865 Larson Dam Suite 95,Milton,Massachusetts,Norfolk County,25021,02186,42.204127760856515,-71.07784172635577,102543.15,9850.40,397182
2b4d3719-aa91-61db-3594-1e66e9f553fd,2009-03-29,,999-53-9143,S99949221,,,Rodney21,Angelo118,Glover433,,,,white,nonhispanic,M,Canton  Massachusetts  US,351 Homenick Center Apt 70,Boston,Massachusetts,Suffolk County,25025,02118,42.392400713336215,-71.0717000351945,41595.34,85981.76,46341
1b390013-907b-0811-7058-7cf7d5e751dc,2014-05-03,,999-55-9845,,,,Neta452,Dennis979,Huels583,,,,black,nonhispanic,F,Newburyport  Massachusetts  US,471 Walter Dam,Boston,Massachusetts,Suffolk County,25025,02129,42.302945939155364,-71.04447235959317,1698.97,26378.26,20292
f1d58b82-15d2-dbba-f467-a7f8a0189213,1955-01-29,,999-28-7027,S99988140,X28365984X,Mrs.,Shanda945,Rolande819,Grimes165,,Bosco882,M,white,nonhispanic,F,Shirley  Massachusetts  US,688 Rohan Annex,Worcester,Massachusetts,Worcester County,25027,01604,42.22553777956103,-71.74065690287557,238315.96,1381872.13,24016
e22a7b29-f45f-2b84-fc88-125f3251d092,1935-04-12,,999-11-7555,S99947295,X50376283X,Mr.,Domenic627,,Schuster709,,,D,white,nonhispanic,M,Revere  Massachusetts  US,320 O'Hara Spur,Wellesley,Massachusetts,Norfolk County,25021,02492,42.33774018131932,-71.24852774470924,92412.52,361922.74,881597
495193fd-de8d-eb2e-7c41-c294978c05e4,2004-05-17,,999-95-5781,S99981023,X13745887X,Mr.,Marcelo725,,Hahn503,,,,white,nonhispanic,M,Dartmouth  Massachusetts  US,466 Pollich Mission,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.46047373754609,-73.2563713253881,84468.90,610495.61,162239
31cb1f5a-3974-0387-f6dd-22b8d2ac9424,2000-10-03,,999-96-3106,S99916027,X26205521X,Mr.,Darin74,,Bogan287,,,,white,hispanic,M,Taunton  Massachusetts  US,930 Kshlerin Lodge Unit 35,Hamilton,Massachusetts,Essex County,,00000,42.59009573755761,-70.88788221052039,67677.71,11363.47,185074
4e35836e-63e4-32b9-10c0-71dc33b2d3df,1984-05-23,,999-80-7216,S99980551,X4854115X,Mr.,Gustavo235,,Gutmann970,,,S,white,nonhispanic,M,North Westport  Massachusetts  US,196 Romaguera Rest,Cambridge,Massachusetts,Middlesex County,25017,02472,42.34129027177063,-71.09528040210371,117912.25,20431.69,169646
56694f91-46c1-651a-2876-2e43c6206f71,1922-03-31,2002-10-06,999-61-4234,S99983568,X55926383X,Mrs.,Trinidad33,Teena223,Hettinger594,,Stiedemann542,M,white,nonhispanic,F,Marlborough  Massachusetts  US,751 Bosco Mission,Waltham,Massachusetts,Middlesex County,25017,02453,42.384811640924454,-71.25443408188639,19603.63,1421910.36,18198
fc75369c-4b98-e3a9-0acf-f1cccbb78ca7,1974-01-13,,999-55-9935,S99989525,X36468672X,Mr.,Lucio648,,Bogan287,,,M,white,nonhispanic,M,Malden  Massachusetts  US,354 Greenholt Approach Apt 37,Lawrence,Massachusetts,Essex County,25009,01843,42.73390669124364,-71.11199597013312,11617.11,215651.12,2565
e1745d60-047a-82bd-4f63-a059ec9c2015,1934-10-14,2013-12-27,999-15-6502,S99985582,X4123169X,Mr.,Jarrod316,Bryant814,Jacobi462,,,M,white,hispanic,M,Marlborough  Massachusetts  US,138 Lockman Village,Palmer,Massachusetts,Hampden County,25013,01069,42.15927090691558,-72.3249265410558,284489.60,1856405.18,72217
c1f2c691-37a4-b79d-41bb-6dd50cd95fcd,1982-03-07,,999-10-8778,S99985150,X85124487X,Mr.,Julio255,,Littel644,,,M,white,nonhispanic,M,Norton  Massachusetts  US,598 Parker Ramp,Waltham,Massachusetts,Middlesex County,25017,02451,42.36970953694914,-71.24562603197431,90333.40,3409.64,191689
ab851c31-41d8-d035-477d-4a8ff12b9248,1969-01-23,,999-67-8123,S99998142,X76840627X,Mr.,Ali918,Danial835,Quigley282,,,W,asian,nonhispanic,M,Taunton  Massachusetts  US,660 Brown Ramp Unit 29,Boston,Massachusetts,Suffolk County,25025,02152,42.337452349125456,-71.03691328742114,22865.88,1149925.49,6428
1ffbfd20-bd1d-3a37-482c-6b5d802011e7,1991-06-27,,999-29-2977,S99946877,X2520893X,Mrs.,Racquel201,Kirstie385,Moen819,,Collier206,M,white,nonhispanic,F,Cambridge  Massachusetts  US,969 Raynor Ferry,Holyoke,Massachusetts,Hampden County,25013,01040,42.183373224185196,-72.66110490638891,191762.00,678970.47,46487
7159ba84-ec5c-c4b9-c381-f8bd0c0f5845,1993-09-13,,999-25-6291,S99928857,X85446250X,Mr.,Santiago500,Damien170,Jacobson885,,,M,white,nonhispanic,M,Monson  Massachusetts  US,527 O'Hara Avenue,Revere,Massachusetts,Suffolk County,25025,02151,42.44877943269489,-71.04679025096526,72869.64,512.53,99963
7291dd7d-9dcf-391f-76ae-169cc3935a3d,1989-05-01,,999-14-4408,S99920918,X14644055X,Mrs.,Arianne988,,Kassulke119,,Braun514,M,asian,nonhispanic,F,Millis-Clicquot  Massachusetts  US,299 Lockman Row,Waltham,Massachusetts,Middlesex County,25017,02453,42.38681553729792,-71.2196746967608,158529.71,489571.81,167614
86a9bc06-0561-19a6-3ebd-55d6bda84c4d,1985-02-15,,999-90-2084,S99972283,X5412518X,Mr.,Rodger755,Ronnie7,Bode78,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,596 Lang Center Suite 49,Warren,Massachusetts,Worcester County,25027,01585,42.282157180811716,-72.11308179259132,80214.51,7378.06,32925
1f09e0b6-a70f-ae59-3b41-a8a11f65b46d,2004-06-02,,999-26-6815,S99977660,X82065373X,Ms.,Elizbeth263,Lisabeth458,Champlin946,,,,black,nonhispanic,F,New Bedford  Massachusetts  US,601 Kuvalis Grove Suite 88,Quincy,Massachusetts,Norfolk County,25021,02170,42.29388290790986,-71.01562522858268,71942.46,12913.67,71522
729fac63-eeeb-edfc-e4c1-21731cd2b459,1996-12-21,,999-78-6087,S99978759,X20653372X,Mr.,Zane918,Walton167,Muller251,,,M,white,nonhispanic,M,Everett  Massachusetts  US,354 Rohan Mews,Brockton,Massachusetts,Plymouth County,25023,02302,42.15770973525606,-70.93478592924839,49197.51,30593.35,58003
6b8f5263-bade-42ba-4338-80c93cf8f48b,1974-10-23,,999-64-4112,S99964506,X65880204X,Mr.,Carter549,,O'Kon634,,,M,black,nonhispanic,M,Fall River  Massachusetts  US,1023 Keeling Lane Apt 58,Salem,Massachusetts,Essex County,25009,01907,42.42666739351397,-70.90934094702487,195150.86,124460.25,179363
1f4d5eb8-04d3-1bd8-2361-37833d4565dd,1996-12-27,,999-28-2831,S99914650,X66883150X,Mr.,Darius626,Raymon366,Terry864,,,S,white,nonhispanic,M,Worcester  Massachusetts  US,849 Quitzon Park,Holyoke,Massachusetts,Hampden County,25013,01040,42.22530348718601,-72.64063904103187,97017.99,39840.69,36720
eecbddde-be17-106f-f218-484ffac0126e,1984-09-20,,999-83-5547,S99993693,X31250415X,Mr.,Arlen68,Andrew29,Boyle917,,,M,white,nonhispanic,M,Amherst Center  Massachusetts  US,691 Cummerata Row Suite 4,Foxborough,Massachusetts,Norfolk County,25021,02035,42.09760077575862,-71.29317270576325,107279.26,17714.74,93508
ed7b39c4-a4f0-7527-c32a-dd8a079f8937,1922-03-31,1996-05-01,999-80-4587,S99947470,X52024158X,Ms.,Zenaida56,,Pfeffer420,,,S,white,nonhispanic,F,Ayer  Massachusetts  US,368 Schamberger Gate,Waltham,Massachusetts,Middlesex County,25017,02452,42.32930375479323,-71.2161119332041,16734.67,864493.23,18198
6178aedb-ef44-9921-01a9-76f88cb46b30,2015-09-27,,999-96-4770,,,,Robin66,Xavier983,Hackett68,,,,white,nonhispanic,M,Greenfield  Massachusetts  US,205 Gulgowski Vista,Dracut,Massachusetts,Middlesex County,,00000,42.65948672256548,-71.33100790832482,28164.38,433.61,35255
2ee7d1ad-1e97-959b-069f-4c6fdec7dd8b,1958-08-30,2025-08-20,999-97-9925,S99932586,X51315555X,Mr.,Eli762,Edison640,Jast432,,,M,white,nonhispanic,M,Northwest Harwich  Massachusetts  US,127 Roob Stravenue Suite 30,Chicopee,Massachusetts,Hampden County,25013,01013,42.18761356518633,-72.60036420055053,306668.66,51282.00,40903
1aea3c43-afc8-2577-ee28-45bcd2c96e21,1960-05-12,,999-91-4881,S99991891,X57363591X,Mr.,Junior695,Lane844,Harvey63,,,M,white,nonhispanic,M,Dedham  Massachusetts  US,885 Littel Course Suite 84,Boston,Massachusetts,Suffolk County,25025,02215,42.372595682063526,-71.16988575224846,93086.71,160724.02,877918
98668ba8-cb02-1eb9-591a-d61d9aa7b52c,1954-10-02,,999-94-3090,S99990687,X43458178X,Mrs.,Paulina892,Christa452,Mueller846,,Rolfson709,M,black,nonhispanic,F,Rehoboth  Massachusetts  US,1006 Waters Trafficway Apt 3,Scituate,Massachusetts,Plymouth County,25023,02066,42.22773743247678,-70.73277513709914,326462.61,465717.47,135924
67a01d25-5d2b-64e4-1335-169e37c9631a,2010-09-23,,999-28-5389,,,,Antonette454,Marci572,Cartwright189,,,,black,nonhispanic,F,Needham  Massachusetts  US,620 Crooks Orchard Apt 88,Taunton,Massachusetts,Bristol County,25005,02767,41.90861874595189,-70.96715294486705,29833.54,6193.75,32914
f6046e5c-7110-2733-48c5-4efc9fd672f0,1999-07-18,,999-17-1770,S99961125,X24655628X,Ms.,Anastacia583,Daysi106,Zulauf375,,,,black,nonhispanic,F,Boston  Massachusetts  US,731 Mayer Mill,Newton,Massachusetts,Middlesex County,25017,02465,42.29397835758863,-71.24716624618226,117051.90,296466.20,37706
380a4b1e-481c-613a-a27d-830439f77eeb,2018-01-07,,999-92-5274,,,,Neoma676,,Gerhold939,,,,white,nonhispanic,F,Orange  Massachusetts  US,334 Reichert Row,Maynard,Massachusetts,Middlesex County,25017,01754,42.46934222722823,-71.477447264767,34944.60,26915.90,184967
eb6bdc3e-7bea-fdb0-b9f6-8b5e71698709,2015-08-25,,999-45-4915,,,,Shelly431,Marcelle381,Bartell116,,,,asian,hispanic,F,Falmouth  Massachusetts  US,655 Crona Estate,Stoneham,Massachusetts,Middlesex County,25017,02180,42.511112096755426,-71.10112029091422,25366.77,4143.52,49837
71008682-a90d-7ad1-7a0b-2d341858348a,1942-01-14,,999-58-7350,S99958682,X38768297X,Mrs.,Ouida808,Janene3,Simonis280,,Legros616,D,black,nonhispanic,F,Norwood  Massachusetts  US,1094 Rice Glen,Holliston,Massachusetts,Middlesex County,,00000,42.17863435864257,-71.4718385428544,354951.51,857686.26,138649
9a22d4e7-247c-c42e-8191-5674c2b0c1f7,1962-02-26,,999-65-1092,S99986175,X76583990X,Mrs.,Ashlee14,,Russel238,,Davis923,D,white,nonhispanic,F,Worcester  Massachusetts  US,392 Jakubowski Lodge,Wilbraham,Massachusetts,Hampden County,25013,01095,42.14190146763366,-72.39549181089329,265842.79,279819.48,169518
e3263f57-a5f4-1637-b82f-b4ce9a7da0a1,1937-06-30,,999-16-2741,S99948539,X85855350X,Mr.,Abel832,Loren192,Ernser583,,,W,white,nonhispanic,M,West Stockbridge  Massachusetts  US,1035 Stoltenberg Divide,Springfield,Massachusetts,Hampden County,25013,01109,42.1016474392061,-72.61382992037895,633714.37,422395.55,94900
13a61ad4-1280-329d-ba14-3e4625b32c3a,1991-03-09,,999-57-7916,S99939631,X28618306X,Mr.,Jeff859,Nestor901,Stehr398,,,M,white,nonhispanic,M,Lancaster  Massachusetts  US,475 Bode Passage Apt 21,Worcester,Massachusetts,Worcester County,25027,01583,42.29278826263077,-71.80062786738667,138614.53,807243.61,138903
6b9d6958-00c1-4d9a-1717-27a4c56bd261,1986-08-03,,999-75-8545,S99910587,X31989401X,Mrs.,Caridad510,María842,Cervantes583,,Partida347,M,white,hispanic,F,Santiago de los Caballeros  Santiago  DO,994 Zemlak Vista Unit 14,Boston,Massachusetts,Suffolk County,25025,02118,42.364865776006965,-71.11320601398027,34755.81,782216.94,125002
1fba89ab-2005-a2b8-9c26-4fb9e74d830e,1943-05-14,2011-12-30,999-15-9191,S99918978,X53056864X,Mr.,Tyson541,,Sawayn19,,,M,white,nonhispanic,M,Burlington  Massachusetts  US,926 Robel Knoll Apt 60,Franklin,Massachusetts,Norfolk County,25021,02038,42.115346065352334,-71.36213297242114,186146.90,66022.23,176404
